mel_path,transcript,speaker_id
data/preprocessed_data/p225/p225_127_mic1.pt,It is a common problem.,p225
data/preprocessed_data/p225/p225_350_mic1.pt,"However, there is an issue, isn't there?",p225
data/preprocessed_data/p225/p225_220_mic1.pt,He would discuss the peace process in Northern Ireland.,p225
data/preprocessed_data/p226/p226_210_mic1.pt,It's like a garage.,p226
data/preprocessed_data/p226/p226_109_mic1.pt,Oil embargo endorsed.,p226
data/preprocessed_data/p226/p226_290_mic1.pt,Scotland were beaten again.,p226
data/preprocessed_data/p227/p227_080_mic1.pt,"Here, too, the Post Office has missed the boat.",p227
data/preprocessed_data/p227/p227_043_mic1.pt,I'd come back from London.,p227
data/preprocessed_data/p227/p227_030_mic1.pt,"Nonetheless, the overall picture is healthy.",p227
data/preprocessed_data/p228/p228_285_mic1.pt,The songs are just so good.,p228
data/preprocessed_data/p228/p228_350_mic1.pt,"As, indeed, they would be.",p228
data/preprocessed_data/p228/p228_125_mic1.pt,Until the weekend he was minister for social justice.,p228
data/preprocessed_data/p229/p229_245_mic1.pt,The sanctions are about collective punishment.,p229
data/preprocessed_data/p229/p229_293_mic1.pt,I do not think this family will ever get over this.,p229
data/preprocessed_data/p229/p229_196_mic1.pt,Four policemen were wounded.,p229
data/preprocessed_data/p230/p230_286_mic1.pt,That was a gold medal for certain.,p230
data/preprocessed_data/p230/p230_351_mic1.pt,"He is not very big, either.",p230
data/preprocessed_data/p230/p230_309_mic1.pt,There is an element of racism in Scotland.,p230
data/preprocessed_data/p231/p231_180_mic1.pt,I have spoken to head office.,p231
data/preprocessed_data/p231/p231_395_mic1.pt,A review is under way.,p231
data/preprocessed_data/p231/p231_100_mic1.pt,"No, the equipment is extra.",p231
data/preprocessed_data/p232/p232_070_mic1.pt,There is an element of racism in Scotland.,p232
data/preprocessed_data/p232/p232_300_mic1.pt,What has altered?,p232
data/preprocessed_data/p232/p232_292_mic1.pt,The attacker died in the crash.,p232
data/preprocessed_data/p233/p233_324_mic1.pt,I saw some good things.,p233
data/preprocessed_data/p233/p233_262_mic1.pt,It is also very valuable.,p233
data/preprocessed_data/p233/p233_113_mic1.pt,The picture is the same across Scotland.,p233
data/preprocessed_data/p234/p234_262_mic1.pt,His second was a beauty.,p234
data/preprocessed_data/p234/p234_324_mic1.pt,What are they for?,p234
data/preprocessed_data/p234/p234_137_mic1.pt,So what is the campaign about?,p234
data/preprocessed_data/p236/p236_291_mic1.pt,My body is a wreck.,p236
data/preprocessed_data/p236/p236_120_mic1.pt,The colours are very pretty.,p236
